label,type,size,summary
AOL Time Warner,ORG,4,"Warner Media, LLC is an American multinational mass media and entertainment conglomerate owned by AT&T and headquartered in New York City. It was originally formed in 1990 as Time Warner, from the merger of Time Inc. and Warner Communications. The company has film, television and cable operations, with its assets including WarnerMedia Entertainment (consisting of the entertainment assets of Turner, HBO, Otter Media, and Cinemax, as well as HBO Max streaming service), WarnerMedia News & Sports (consisting of the news and sports assets of Turner, as well as AT&T SportsNet), and Warner Bros. (consisting of the film, animation, and television studios, DC Comics, New Line Cinema, the family-friendly assets of Turner, and a 50% interest in The CW).
On October 22, 2016, AT&T announced an offer to acquire Time Warner for $108.7 billion (including assumed Time Warner debt). The proposed merger was confirmed on June 12, 2018, after AT&T won an antitrust lawsuit that the U.S. Justice Department filed in 2017 to attempt to block the acquisition. The merger closed two days later, with the company becoming a subsidiary of AT&T.Despite spinning off Time Inc. in 2014, the company retained the Time Warner name until AT&T's acquisition in 2018, after which it became WarnerMedia. The company's previous assets included Time Inc., AOL, Time Warner Cable, Warner Books, and Warner Music Group; these operations were either sold to others or spun off as independent companies. The company was ranked No. 98 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
Advanced Consumer Technology,ORG,2,"CES (formerly an acronym for Consumer Electronics Show) is an annual trade show organized by the Consumer Technology Association (CTA). Held in January at the Las Vegas Convention Center in Las Vegas, Nevada, United States, the event typically hosts presentations of new products and technologies in the consumer electronics industry."
Advanced Server,ORG,2,"Windows 2000 is an operating system that was produced by Microsoft as part of the Windows NT family of operating systems. It was released to manufacturing on December 15, 1999, and launched to retail on February 17, 2000. It is the successor to Windows NT 4.0.
Four editions of Windows 2000 were released: Professional, Server, Advanced Server, and Datacenter Server; the latter was both released to manufacturing and launched months after the other editions. While each edition of Windows 2000 was targeted at a different market, they shared a core set of features, including many system utilities such as the Microsoft Management Console and standard system administration applications.
Windows 2000 introduces NTFS 3.0, Encrypting File System, as well as basic and dynamic disk storage. Support for people with disabilities was improved over Windows NT 4.0 with a number of new assistive technologies, and Microsoft increased support for different languages and locale information. The Windows 2000 Server family has additional features, most notably the introduction of Active Directory, which in the years following became a widely used directory service in business environments.
Microsoft marketed Windows 2000 as the most secure Windows version ever at the time; however, it became the target of a number of high-profile virus attacks such as Code Red and Nimda. For ten years after its release, it continued to receive patches for security vulnerabilities nearly every month until reaching the end of its lifecycle on July 13, 2010.Windows 2000 is the last version of Microsoft Windows to display the ""Windows NT"" designation, and the last version where the desktop and server versions of Windows shared the same name. It is succeeded by Windows XP (released in October 2001) and Windows Server 2003 (released in April 2003)."
Apple,ORG,2,"In mathematics and computer science, apply is a function that applies functions to arguments. It is central to programming languages derived from lambda calculus, such as LISP and Scheme, and also in functional languages. It has a role in the study of the denotational semantics of computer programs, because it is a continuous function on complete partial orders. Apply is also a continuous function in homotopy theory, and, indeed underpins the entire theory: it allows a homotopy deformation to be viewed as a continuous path in the space of functions.  Likewise, valid mutations (refactorings) of computer programs can be seen as those that are ""continuous"" in the Scott topology.
The most general setting for apply is in category theory, where it is right adjoint to currying in closed monoidal categories. A special case of this are the Cartesian closed categories, whose internal language is simply typed lambda calculus."
Application Center,ORG,2,"Application Center Test (ACT) is a Microsoft load testing tool for web servers, focused on ASP.NET. It simulates numerous HTTP sessions from one machine. Using a bank of multiple computers, all firing off repeated HTTP requests, a significant load can be simulated. Tests can be written in either of the Microsoft scripting languages: VBScript and JScript. The tool can also be used for functional testing, although that is not what it is designed for. It also contains a recording function to create test cases without having to program them in.
Application Center Test was bundled with Visual Studio .NET 2003 Enterprise Architect and Enterprise Developer editions. Its main competitor is HP LoadRunner.
Application Center Test has been replaced with more powerful enterprise web application stress testing tools in Visual Studio 2005, specifically the Visual Studio 2005 Team Edition for Software Testers and the more recent Visual Studio Test Professional 2012"
Board,ORG,3,
Business Groups,ORG,2,"A corporate group or group of companies is a collection of parent and subsidiary corporations that function as a single economic entity through a common source of control. The concept of a group is frequently used in tax law, accounting and (less frequently) company law to attribute the rights and duties of one member of the group to another or the whole. If the corporations are engaged in entirely different businesses, the group is called a conglomerate. The forming of corporate groups usually involves consolidation via mergers and acquisitions, although the group concept focuses on the instances in which the merged and acquired corporate entities remain in existence rather than the instances in which they are dissolved by the parent. The group may be owned by a holding company which may have no actual operations.
In Germany, where a sophisticated law of the ""concern"" has been developed, the law of corporate groups is a fundamental aspect of its corporate law. Many other European jurisdictions also have a similar approach, while Commonwealth countries and the United States adhere to a formalistic doctrine that refuses to ""pierce the corporate veil"": corporations are treated outside tax and accounting as wholly separate legal entities."
Business Productivity,ORG,2,"Productivity describes various measures of the efficiency of production. Often, a productivity measure is expressed as the ratio of an aggregate output to a single input or an aggregate input used in a production process, i.e. output per unit of input, typically over a specific period of time. Most common example is the (aggregate) labour productivity measure, e.g., such as GDP per worker. There are many different definitions of productivity (including those that are not defined as ratios of output to input) and the choice among them depends on the purpose of the productivity measurement and/or data availability. The key source of difference between various productivity measures is also usually related (directly or indirectly) to how the outputs and the inputs are aggregated into scalars to obtain such a ratio-type measure of productivity.Productivity is a crucial factor in production performance of firms and nations. Increasing national productivity can raise living standards because more real income improves people's ability to purchase goods and services, enjoy leisure, improve housing and education and contribute to social and environmental programs.  Productivity growth can also help businesses to be more profitable."
Business Systems Division,ORG,2,"Floating Point Systems Inc. (FPS) was a Beaverton, Oregon vendor of attached array processors and minisupercomputers. The company was founded in 1970 by former Tektronix engineer Norm Winningstad, with partners Tom Prince, Frank Bouton and Robert Carter.  Carter was a salesman for Data General Corp. who persuaded Bouton and Prince to leave Tektronix to start the new company.  Winningstad was the fourth partner."
CNBC,ORG,2,"The National Broadcasting Company (NBC) is an American English-language commercial terrestrial radio and television network that is a flagship property of NBCUniversal, a subsidiary of Comcast. The network is headquartered at 30 Rockefeller Plaza in New York City, with additional major offices near Los Angeles (at 10 Universal City Plaza), Chicago (at the NBC Tower) and Philadelphia (at the Comcast Technology Center). The network is one of the Big Three television networks. NBC is sometimes referred to as the ""Peacock Network"", in reference to its stylized peacock logo, introduced in 1956 to promote the company's innovations in early color broadcasting. It became the network's official emblem in 1979.
Founded in 1926 by the Radio Corporation of America (RCA), NBC is the oldest major broadcast network in the United States. At that time the parent company of RCA was General Electric (GE). In 1932, GE was forced to sell RCA and NBC as a result of antitrust charges.
In 1986, control of NBC passed back to General Electric (GE) through its $6.4 billion purchase of RCA. GE immediately began to liquidate RCA's various divisions, but retained NBC. Following the acquisition by GE, Bob Wright served as chief executive officer of NBC, remaining in that position until his retirement in 2007, when he was succeeded by Jeff Zucker.
In 2003, French media company Vivendi merged its entertainment assets with GE, forming NBC Universal. Comcast purchased a controlling interest in the company in 2011, and acquired General Electric's remaining stake in 2013. Following the Comcast merger, Zucker left NBCUniversal and was replaced as CEO by Comcast executive Steve Burke.
NBC has thirteen owned-and-operated stations and nearly 200 affiliates throughout the United States and its territories, some of which are also available in Canada and/or Mexico via pay-television providers or in border areas over-the-air; NBC also maintains brand licensing agreements for international channels in South Korea and Germany."
CarPoint,ORG,3,The Great Wall Wingle is a model of pick-up truck that has been manufactured by the Chinese company Great Wall Motors since 2006. The Wingle was renamed Wingle 3 with the introduction of the newer model Wingle 5 in 2010 and Wingle 6 in 2014. Great Wall then unveiled another Wingle model to the lineup known as the Wingle 7 in 2018.
Consumer Commerce,ORG,3,"E-commerce (electronic commerce) is the activity of electronically buying or selling of products on online services or over the Internet. Electronic commerce draws on technologies such as mobile commerce, electronic funds transfer, supply chain management, Internet marketing, online transaction processing, electronic data interchange (EDI), inventory management systems, and automated data collection systems. E-commerce is in turn driven by the technological advances of the semiconductor industry, and is the largest sector of the electronics industry.
Modern electronic commerce typically uses the World Wide Web for at least one part of the transaction's life cycle although it may also use other technologies such as e-mail. Typical e-commerce transactions include the purchase of online books (such as Amazon) and music purchases (music download in the form of digital distribution such as iTunes Store), and to a less extent, customized/personalized online liquor store inventory services. There are three areas of e-commerce: online retailing, electronic markets, and online auctions. E-commerce is supported by electronic business.E-commerce businesses may also employ some or all of the followings:

Online shopping for retail sales direct to consumers via Web sites and mobile apps, and conversational commerce via live chat, chatbots, and voice assistants
Providing or participating in online marketplaces, which process third-party business-to-consumer (B2C) or consumer-to-consumer (C2C) sales
Business-to-business (B2B) buying and selling;
Gathering and using demographic data through web contacts and social media
Business-to-business (B2B) electronic data interchange
Marketing to prospective and established customers by e-mail or fax (for example, with newsletters)
Engaging in pretail for launching new products and services
Online financial exchanges for currency exchanges or trading purposes."
Consumer Commerce Investments,ORG,2,
Consumer Software,ORG,5,"Consumers Software was a computer networking company based in Canada. The company created early spreadsheet utilities and later developed Network Courier, an email product based on the concept of one or more connected 'post offices'. The post office could be connected to legacy email systems, such as PROFS, DEC and other largely mainframe based email system using connectors.
Consumers Software was one of two companies selling PC-LAN email systems at the time. The other was cc:Mail, based in California.
Consumers Software was acquired by Microsoft on March 18, 1991 and merged its technology with Microsoft Windows and Microsoft Mail for PC Networks. The Network Courier server development group became Microsoft Workgroup Vancouver, part of the Workgroup Computing Division of Microsoft, before being shut down, with its employees relocated to the main Microsoft campus in Redmond, Washington."
Corel,ORG,2,"Corals are marine invertebrates within the class Anthozoa of the phylum Cnidaria. They typically live in compact colonies of many identical individual polyps. Corals species include the important reef builders that inhabit tropical oceans and secrete calcium carbonate to form a hard skeleton.
A coral ""group"" is a colony of myriad genetically identical polyps. Each polyp is a sac-like animal typically only a few millimeters in diameter and a few centimeters in length. A set of tentacles surround a central mouth opening. An exoskeleton is excreted near the base. Over many generations, the colony thus creates a large skeleton characteristic of the species. Individual heads grow by asexual reproduction of polyps. Corals also breed sexually by spawning: polyps of the same species release gametes simultaneously over a period of one to several nights around a full moon.
Although some corals are able to catch small fish and plankton using stinging cells on their tentacles, most corals obtain the majority of their energy and nutrients from photosynthetic unicellular dinoflagellates in the genus Symbiodinium that live within their tissues. These are commonly known as zooxanthellae. Such corals require sunlight and grow in clear, shallow water, typically at depths less than 60 metres (200 ft). Corals are major contributors to the physical structure of the coral reefs that develop in tropical and subtropical waters, such as the Great Barrier Reef off the coast of Queensland, Australia.
Other corals do not rely on zooxanthellae and can live in much deeper water, with the cold-water genus Lophelia surviving as deep as 3,300 metres (10,800 ft). Some have been found as far north as the Darwin Mounds, northwest of Cape Wrath, Scotland, and others off the coast of Washington State and the Aleutian Islands."
Datacenter Server,ORG,2,"Windows 2000 is an operating system that was produced by Microsoft as part of the Windows NT family of operating systems. It was released to manufacturing on December 15, 1999, and launched to retail on February 17, 2000. It is the successor to Windows NT 4.0.
Four editions of Windows 2000 were released: Professional, Server, Advanced Server, and Datacenter Server; the latter was both released to manufacturing and launched months after the other editions. While each edition of Windows 2000 was targeted at a different market, they shared a core set of features, including many system utilities such as the Microsoft Management Console and standard system administration applications.
Windows 2000 introduces NTFS 3.0, Encrypting File System, as well as basic and dynamic disk storage. Support for people with disabilities was improved over Windows NT 4.0 with a number of new assistive technologies, and Microsoft increased support for different languages and locale information. The Windows 2000 Server family has additional features, most notably the introduction of Active Directory, which in the years following became a widely used directory service in business environments.
Microsoft marketed Windows 2000 as the most secure Windows version ever at the time; however, it became the target of a number of high-profile virus attacks such as Code Red and Nimda. For ten years after its release, it continued to receive patches for security vulnerabilities nearly every month until reaching the end of its lifecycle on July 13, 2010.Windows 2000 is the last version of Microsoft Windows to display the ""Windows NT"" designation, and the last version where the desktop and server versions of Windows shared the same name. It is succeeded by Windows XP (released in October 2001) and Windows Server 2003 (released in April 2003)."
Desktop Applications,ORG,4,"Application software (app for short) is a program or group of programs designed for end users who don't know exactly what food is as yet. Examples of an application include a word processor, a spreadsheet, an accounting application, a web browser, an email client, a media player, a file viewer, an aeronautical flight simulator, a console game or a photo editor. The collective noun application software refers to all applications collectively. This contrasts with system software, which is mainly involved with running the computer.
Applications may be bundled with the computer and its system software or published separately, and may be coded as proprietary, open-source or university projects. Apps built for mobile platforms are called mobile apps."
Desktop Enterprise Software,ORG,2,"SUSE Linux Enterprise Desktop (SLED), introduced as Novell Linux Desktop, is a Linux distribution supplied by SUSE and targeted at the business market. It is targeted for desktops. New major versions are released at an interval of 24–36 months, while minor versions (called service packs) are released every 9–12 months. SUSE Linux Enterprise products, including SUSE Linux Enterprise Desktop, receive commercial support and much more intense testing than the openSUSE community product, with the intention that only mature, stable versions of the included components will make it through to the released enterprise product.
The current version is SLED 15, which is developed from a common codebase with SUSE Linux Enterprise Server (SLES) and other SUSE Linux Enterprise (SLE) products. SLED includes the GNOME Shell, LibreOffice, Evolution and many other popular open source packages such as Dia, TigerVNC, and lftp. Like SLES, SLED is based on openSUSE Tumbleweed and shares a common codebase with openSUSE Leap.
On 15 March 2019, EQT Partners completed its acquisition of SUSE for 2.5 billion USD, leaving SUSE one of the largest independent enterprise Linux vendors."
Desktop Enterprise Software Services,ORG,3,"SUSE Linux Enterprise Desktop (SLED), introduced as Novell Linux Desktop, is a Linux distribution supplied by SUSE and targeted at the business market. It is targeted for desktops. New major versions are released at an interval of 24–36 months, while minor versions (called service packs) are released every 9–12 months. SUSE Linux Enterprise products, including SUSE Linux Enterprise Desktop, receive commercial support and much more intense testing than the openSUSE community product, with the intention that only mature, stable versions of the included components will make it through to the released enterprise product.
The current version is SLED 15, which is developed from a common codebase with SUSE Linux Enterprise Server (SLES) and other SUSE Linux Enterprise (SLE) products. SLED includes the GNOME Shell, LibreOffice, Evolution and many other popular open source packages such as Dia, TigerVNC, and lftp. Like SLES, SLED is based on openSUSE Tumbleweed and shares a common codebase with openSUSE Leap.
On 15 March 2019, EQT Partners completed its acquisition of SUSE for 2.5 billion USD, leaving SUSE one of the largest independent enterprise Linux vendors."
Desktop Platforms,ORG,2,
Devices,ORG,2,
Electronic Arts,ORG,2,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive and Ubisoft as of March 2018.Founded and incorporated on May 27, 1982, by Apple employee Trip Hawkins, the company was a pioneer of the early home computer games industry and was notable for promoting the designers and programmers responsible for its games. EA published numerous games and productivity software for personal computers and later experimented on techniques to internally develop games, leading to the 1987 release of Skate or Die!. The company would later decide in favor of abandoning their original principles and acquiring smaller companies that they see profitable, as well as annually releasing franchises to stay profitable.
Currently, EA develops and publishes games of established franchises, including Battlefield, Need for Speed, The Sims, Medal of Honor, Command & Conquer, Dead Space, Mass Effect, Dragon Age, Army of Two, Titanfall, and Star Wars, as well as the EA Sports titles FIFA, Madden NFL, NBA Live, NHL, and EA Sports UFC. Their desktop titles appear on self-developed Origin, an online gaming digital distribution platform for PCs and a direct competitor to Valve's Steam and Epic Games' Store. EA also owns and operates major gaming studios such as EA Tiburon in Orlando, EA Vancouver in Burnaby, DICE in Sweden and Los Angeles, BioWare in Edmonton and Austin, and Respawn Entertainment in Los Angeles."
Enterprise Services,ORG,2,"An enterprise service bus (ESB) implements a communication system between mutually interacting software applications in a service-oriented architecture (SOA). It represents a software architecture for distributed computing, and is a special variant of the more general client-server model, wherein any application may behave as server or client. ESB promotes agility and flexibility with regard to high-level protocol communication between applications. Its primary use is in enterprise application integration (EAI) of heterogeneous and complex service landscapes."
Enterprise Software Services,ORG,3,"Enterprise software, also known as enterprise application software (EAS), is computer software used to satisfy the needs of an organization rather than individual users. Such organizations include businesses, schools, interest-based user groups, clubs, charities, and governments. Enterprise software is an integral part of a (computer-based) information system; a collection of such software is called an Enterprise system.
Services provided by enterprise software are typically business-oriented tools, such as online shopping, and online payment processing, interactive product catalogue, automated billing systems, security, Business Process Management,  enterprise content management, IT Service Management, customer relationship management, enterprise resource planning, business intelligence, project management, collaboration, human resource management, manufacturing, occupational health and safety, enterprise application integration, and enterprise forms automation.
As enterprises have similar departments and systems in common, enterprise software is often available as a suite of customizable programs. Generally, the complexity of these tools requires specialist capabilities and specific knowledge. Enterprise computing is the information technology (IT) tools that businesses use for efficient production operations and back-office support.  These IT tools cover database management, customer relationship management, supply chain management,  business process management and so on."
Exchange Server,ORG,2,"Microsoft Exchange Server is a mail server and calendaring server developed by Microsoft. It runs exclusively on Windows Server operating systems.
The first version was called Exchange Server 4.0, to position it as the successor to the related Microsoft Mail 3.5. Exchange initially used the X.400 directory service but switched to Active Directory later. Until version 5.0 it came bundled with an email client called Microsoft Exchange Client. This was discontinued in favor of Microsoft Outlook.
Exchange Server primarily uses a proprietary protocol called MAPI to talk to email clients, but subsequently added support for POP3, IMAP, and EAS. The standard SMTP protocol is used to communicate to other Internet mail servers.
Exchange Server is licensed both as on-premises software and software as a service (SaaS). In the on-premises form, customers purchase client access licenses (CALs); as SaaS, Microsoft charges a monthly service fee instead."
Expedia,ORG,3,"Expedia.com is an online travel agency and metasearch engine. The website and mobile app can be used to book airline tickets, hotel reservations, car rentals, cruise ships, and vacation packages.
The company is headquartered in Bellevue, Washington but is expected to relocate to Seattle, Washington this year.
It is owned and operated by Expedia Group, ranked first on the list of top earning travel companies."
Expedia Inc,ORG,5,"Expedia Group is a travel technology company. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include CarRentals.com, Expedia.com, HomeAway, Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago, Venere.com and vrbo.According to Rich Barton, the company's first CEO, the word ""Expedia"" is derived from a combination of ""exploration"" and ""speed"".

"
Group,ORG,12,
HailStorm,ORG,2,"Hail is a form of solid precipitation. It is distinct from ice pellets (American English ""sleet""), though the two are often confused. It consists of balls or irregular lumps of ice, each of which is called a hailstone. Ice pellets fall generally in cold weather while hail growth is greatly inhibited during cold surface temperatures.Unlike other forms of water ice such as graupel, which is made of rime, and ice pellets, which are smaller and translucent, hailstones usually measure between 5 mm (0.2 in) and 15 cm (6 in) in diameter. The METAR reporting code for hail 5 mm (0.20 in) or greater is GR, while smaller hailstones and graupel are coded GS.
Hail is possible within most thunderstorms as it is produced by cumulonimbus, and within 2 nmi (3.7 km) of the parent storm.  Hail formation requires environments of strong, upward motion of air with the parent thunderstorm (similar to tornadoes) and lowered heights of the freezing level. In the mid-latitudes, hail forms near the interiors of continents, while in the tropics, it tends to be confined to high elevations.
There are methods available to detect hail-producing thunderstorms using weather satellites and weather radar imagery. Hailstones generally fall at higher speeds as they grow in size, though complicating factors such as melting, friction with air, wind, and interaction with rain and other hailstones can slow their descent through Earth's atmosphere. Severe weather warnings are issued for hail when the stones reach a damaging size, as it can cause serious damage to human-made structures and, most commonly, farmers' crops."
HomeAdvisor,ORG,2,"HomeAdvisor is a digital marketplace formerly known as ServiceMagic. Its aim is to connect homeowners with prescreened, local service professionals to carry out home improvement, maintenance and remodeling projects HomeAdvisor incorporates home improvement project planning resources like True Cost Guide, where customers can view average project costs. It is free to homeowners, and a paid network for service professionals.According to the company, professionals registered on HomeAdvisor network are prescreened and must pass criminal and financial background checks.HomeAdvisor is headquartered in Denver, Colorado and has offices in Evanston, Illinois; Fairfax, Virginia; Lenexa, Kansas; New York, New York; Indianapolis, Indiana; and Colorado Springs, Colorado.
On October 2, 2017, HomeAdvisor acquired Angie’s List and renamed itself ANGI Homeservices (NASDAQ: ANGI), the world’s largest digital marketplace for home services. IAC is now a majority shareholder in ANGI Homeservices, which is the parent company of HomeAdvisor. ANGI Homeservices operates 10 brands in eight countries, including HomeAdvisor, Angie’s List, mHelpDesk, HomeStars (Canada), MyHammer (Germany), MyBuilder (UK), Werkspot (Netherlands), Instapro (Italy) and Travaux.com (France)."
Human Resources,ORG,2,"Human resources describes the people who make up the workforce of an organization, industry,business sector, or economy. ""Human capital"" is sometimes used synonymously with ""human resources"", although human capital typically refers to a narrower effect (i.e., the knowledge the individuals embody and economic growth). Likewise, other terms sometimes used include manpower, talent, labour, personnel, ""associates"" or simply people.
A human-resources department (HR department) of an organization performs human resource management, overseeing various aspects of employment, such as compliance with labor law and employment standards, administration of employee benefits, organizing of employees files with the required documents for future reference, and some aspects of recruitment."
IBM,ORG,10,"The International Business Machines Corporation (IBM) is an American multinational information technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed ""International Business Machines"" in 1924. IBM is incorporated in New York.IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most U.S. patents generated by a business (as of 2020) for 27 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.
IBM has continually shifted business operations by focusing on higher-value, more profitable markets. This includes spinning off printer manufacturer Lexmark in 1991 and the sale of personal computer (ThinkPad/ThinkCentre) and x86-based server businesses to Lenovo (in 2005 and 2014, respectively), and acquiring companies such as PwC Consulting (2002), SPSS (2009), The Weather Company (2016), and Red Hat (2019). Also in 2015, IBM announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries.
Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with (as of 2018) over 350,000 employees, known as ""IBMers"". At least 70% of IBMers are based outside the United States, and the country with the largest number of IBMers is India. IBM employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA)."
Law Corporate Affairs,ORG,2,"The Ministry of Corporate Affairs is an Indian government ministry. It is primarily concerned with administration of the Companies Act 2013, the Companies Act 1956, the Limited Liability Partnership Act, 2008 & other allied Acts and rules & regulations framed there-under mainly for regulating the functioning of the corporate sector in accordance with law.  It is responsible mainly for regulation of Indian enterprises in Industrial and Services sector. Ministry is mostly served by the Indian Corporate Law Service officers cadre (ICLS). These officers are being selected through Civil Services Examination Conducted by UPSC. Brilliant talent pool of the country serves MCA in different capacities. The highest post of DGCoA is being fixed at Apex Scale for the ICLS. The current Minister of State for Corporate Affairs is Anurag Thakur."
Linux,ORG,5,
MSN,ORG,14,"MSN (stylized in all lowercase) is a web portal and related collection of Internet services and apps for Windows and mobile devices, provided by Microsoft and launched on August 24, 1995, the same release date as Windows 95.The Microsoft Network was initially a subscription-based dial-up online service that later became an Internet service provider named MSN Dial-up. At the same time, the company launched a new web portal named Microsoft Internet Start and set it as the first default home page of Internet Explorer, its web browser. In 1998, Microsoft renamed and moved this web portal to the domain name www.msn.com, where it has remained.In addition to its original MSN Dial-up service, Microsoft has used the 'MSN' brand name for a wide variety of products and services over the years, notably Hotmail (later Outlook.com), Messenger (which was once synonymous with 'MSN' in Internet slang and has now been replaced by Skype), and its web search engine, which is now Bing, and several other rebranded and discontinued services.
The current website and suite of apps offered by MSN was first introduced by Microsoft in 2014 as part of a complete redesign and relaunch. MSN is based in the United States and offers international versions of its portal for dozens of countries around the world."
MSN Business Group,ORG,2,"MSN (stylized in all lowercase) is a web portal and related collection of Internet services and apps for Windows and mobile devices, provided by Microsoft and launched on August 24, 1995, the same release date as Windows 95.The Microsoft Network was initially a subscription-based dial-up online service that later became an Internet service provider named MSN Dial-up. At the same time, the company launched a new web portal named Microsoft Internet Start and set it as the first default home page of Internet Explorer, its web browser. In 1998, Microsoft renamed and moved this web portal to the domain name www.msn.com, where it has remained.In addition to its original MSN Dial-up service, Microsoft has used the 'MSN' brand name for a wide variety of products and services over the years, notably Hotmail (later Outlook.com), Messenger (which was once synonymous with 'MSN' in Internet slang and has now been replaced by Skype), and its web search engine, which is now Bing, and several other rebranded and discontinued services.
The current website and suite of apps offered by MSN was first introduced by Microsoft in 2014 as part of a complete redesign and relaunch. MSN is based in the United States and offers international versions of its portal for dozens of countries around the world."
MSN Internet Access,ORG,2,"MSN Dial-up is an Internet service provider operated by Microsoft in the United States and formerly also in several other countries. Originally named The Microsoft Network, it debuted as a proprietary online service on August 24, 1995, to coincide with the release of Windows 95. In 1996 and 1997, a revised web-based version of the ISP was an early experiment at interactive multimedia content on the Internet.
Microsoft renamed the service MSN Internet Access in 1998, focusing its main 'MSN' brand on its web portal of the same name, MSN.com. Today, the company still provides dial-up Internet access under the name 'MSN Dial-up' for those who cannot access high-speed broadband. For several years, MSN was the second largest dial-up ISP in the United States behind longtime leader AOL, but very few people in the U.S. still rely on dial-up.Along with dial-up service, MSN provides its subscribers with an @msn.com email account to use with Outlook.com and security software such as firewall and anti-virus programs. It also offers these extra features as a standalone subscription service for users of broadband Internet access named 'MSN Premium'."
MSN eShop,ORG,2,"MSN (stylized in all lowercase) is a web portal and related collection of Internet services and apps for Windows and mobile devices, provided by Microsoft and launched on August 24, 1995, the same release date as Windows 95.The Microsoft Network was initially a subscription-based dial-up online service that later became an Internet service provider named MSN Dial-up. At the same time, the company launched a new web portal named Microsoft Internet Start and set it as the first default home page of Internet Explorer, its web browser. In 1998, Microsoft renamed and moved this web portal to the domain name www.msn.com, where it has remained.In addition to its original MSN Dial-up service, Microsoft has used the 'MSN' brand name for a wide variety of products and services over the years, notably Hotmail (later Outlook.com), Messenger (which was once synonymous with 'MSN' in Internet slang and has now been replaced by Skype), and its web search engine, which is now Bing, and several other rebranded and discontinued services.
The current website and suite of apps offered by MSN was first introduced by Microsoft in 2014 as part of a complete redesign and relaunch. MSN is based in the United States and offers international versions of its portal for dozens of countries around the world."
MSNBC,ORG,3,"MSNBC is an American cable television channel that provides NBC News coverage as well as its own reporting and political commentary on current events. MSNBC is owned by the NBCUniversal News Group, a unit of the NBCUniversal Broadcast, Cable, Sports and News division of NBCUniversal (all of which are ultimately owned by Comcast). 
MSNBC and its website were founded in 1996 under a partnership between Microsoft and General Electric's NBC unit, hence the network's naming. Although they had the same name, msnbc.com and MSNBC maintained separate corporate structures and news operations. msnbc.com was headquartered on the Microsoft campus in Redmond, Washington, while MSNBC operated out of NBC's headquarters in New York City. Microsoft divested itself of its stakes in the MSNBC channel in 2005 and in msnbc.com in July 2012. The general news site was rebranded as NBCNews.com, and a new msnbc.com was created as the online home of the cable channel.In the late summer of 2015, MSNBC revamped its programming; the moves were in sharp contrast to previous programming decisions at the network. MSNBC sought to sharpen its news image by entering into a dual editorial relationship with its organizational parent NBC News. MSNBC Live, the network's flagship daytime news platform, was expanded to cover over eight hours of the day. Phil Griffin is the president and director of day-to-day operations at MSNBC.As of September 2018, approximately 87 million households in the United States (90.7 percent of pay television subscribers) were receiving MSNBC. In 2019, MSNBC ranked second among basic cable networks averaging 1.8 million viewers, behind rival Fox News."
